series_index,series_title,question_number,level,points,image_url,local_image_path,A,B,C,D,correct_answer_text,correct_letter
1,Série 1,15,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194887250-vg3vz8.png,tcf_full_output\images\series_01_q15.png,Il fait observer la nature de façon différente,Il aide au développement de la recherche,Il nécessite un bon entrainement sportif,Il s’adresse à des spécialistes passionnés,Il fait observer la nature de façon différente,A
1,Série 1,16,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886835-rba0d4.png,tcf_full_output\images\series_01_q16.png,On les a tués afin de les manger,On les a attrapés et emmenés ailleurs,On les a chassés de l’aéroport,On les a soignés et relâchés,On les a attrapés et emmenés ailleurs,B
1,Série 1,17,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885818-rhalxn.png,tcf_full_output\images\series_01_q17.png,Le choix des matières est vaste,Le nombre d’étudiants est limité,Le prix des études est peu élevé,L’enseignement est d’un bon niveau,L’enseignement est d’un bon niveau,D
1,Série 1,18,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886144-9wm2zc.png,tcf_full_output\images\series_01_q18.png,La quantité de travail est importante,Le rôle est peu valorisé,Les postes sont supprimés,Les tâches sont limitées,Le rôle est peu valorisé,B
1,Série 1,19,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886048-r902oi.png,tcf_full_output\images\series_01_q19.png,Elle doit devenir la langue de l’administration publique,Elle peut perdre son statut de langue dominante,Elle restera la langue privilégiée dans le commerce,Elle va provoquer la disparition de langues minoritaires,Elle peut perdre son statut de langue dominante,B
1,Série 1,20,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885802-a4ugjg.png,tcf_full_output\images\series_01_q20.png,Exposer l’ensemble de ses qualités professionnelles,Faire la preuve de son désir de travailler,Parler avec enthousiasme de ses projets de formation,Parler des emplois qu’on a déjà occupés,Faire la preuve de son désir de travailler,B
1,Série 1,21,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194885939-lv30qj.png,tcf_full_output\images\series_01_q21.png,Leur conception de la cuisine est passée de mode,Leur créativité leur assure une célébrité mondiale,Leur nom s’est transformé en label de prestige,Leurs établissements sont cotes en bourse,Leur nom s’est transformé en label de prestige,C
1,Série 1,22,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886129-wmjnm1.png,tcf_full_output\images\series_01_q22.png,Des adaptations télévisées de Maupassant,Des programmes d’études littéraires,Une exposition consacrée à Maupassant,Un ouvrage critique récemment paru,Des adaptations télévisées de Maupassant,A
1,Série 1,23,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886289-tg55a9.png,tcf_full_output\images\series_01_q23.png,Bâtir une église identique dans le quartier,Débuter le réaménagement du boulevard,Entreprendre une rénovation du lieu,Réhabiliter les logements sociaux existants,Entreprendre une rénovation du lieu,C
1,Série 1,24,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886266-gbhmpa.png,tcf_full_output\images\series_01_q24.png,C’est une réponse à des besoins alimentaires accrus,Des recherches remettent en cause l’intérêt nutritif,Elle s’avère moins rentable que les cultures de céréales,Les citoyens exigent des garanties sanitaires,C’est une réponse à des besoins alimentaires accrus,A
1,Série 1,25,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886102-22bo6c.png,tcf_full_output\images\series_01_q25.png,Les producteurs évitent de prendre des risques,Les réalisateurs sont à la recherche d’idées neuves,Les scénaristes font preuve d’une imagination limitée,Les spectateurs privilégient les créations classiques,Les producteurs évitent de prendre des risques,A
1,Série 1,26,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886662-01xbqc.png,tcf_full_output\images\series_01_q26.png,Pour aider à faire le deuil du passé,Pour alléger le stockage des données,Pour faire obstacle aux multinationales,Pour rester maitre de sa vie privée,Pour rester maitre de sa vie privée,D
1,Série 1,27,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886398-gcku4d.png,tcf_full_output\images\series_01_q27.png,Un obstacle pour les bateaux de pêche.,Un réchauffement dramatique des eaux.,Un risque d’intoxication des populations du Pacifique.,Une diminution de la diversité de la faune océanique.,Une diminution de la diversité de la faune océanique.,D
1,Série 1,28,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886069-5hl7la.png,tcf_full_output\images\series_01_q28.png,Élaborer le budget de leur voyage à Barcelone,Gagner de l’argent pour payer leur séjour,Montrer aux autres classes leurs talents culinaires,Soutenir le futur projet des élèves de terminale,Gagner de l’argent pour payer leur séjour,B
1,Série 1,29,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886258-vecxz7.png,tcf_full_output\images\series_01_q29.png,Ils donnent l'impression de vénérer les produits,Ils ont l'air éblouis par le gigantisme des magasins,Ils paraissent manipulés par une force supérieure,Ils semblent perdus dans le labyrinthe des rayons,Ils paraissent manipulés par une force supérieure,C
1,Série 1,30,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886300-ca9abh.png,tcf_full_output\images\series_01_q30.png,La gestion du stress est difficile,La santé est mise en péril,Le corps est moins réactif,Le système génétique est affecté,Le système génétique est affecté,D
1,Série 1,31,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886085-nhmm4d.png,tcf_full_output\images\series_01_q31.png,L’absence totale des signes visuels du langage,L’opposition des familles à leurs interventions,La nécessité de modérer le ton des échanges,Les nombreuses remarques des participants,L’absence totale des signes visuels du langage,A
1,Série 1,32,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194887300-sn79sj.png,tcf_full_output\images\series_01_q32.png,Si on les prend en compte avec lucidité,Si on les remodèle à travers l’Imagination,Si on modifie la façon dont on les perçoit,Si on recherche leur signification profonde,Si on modifie la façon dont on les perçoit,C
1,Série 1,33,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886443-f7vl2j.png,tcf_full_output\images\series_01_q33.png,La description du personnage,La longueur du texte,La qualité de l’écriture,Le déroulement des événements,Le déroulement des événements,D
1,Série 1,34,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886405-bbn2o9.png,tcf_full_output\images\series_01_q34.png,Ils correspondent à des programmes scolaires obsolètes,Ils méconnaissent l’existence des familles recomposées,Ils présentent un partage sexiste des tâches dans le couple,Ils se moquent du quotidien des personnes sans emploi,Ils présentent un partage sexiste des tâches dans le couple,C
1,Série 1,35,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886310-tkeok7.png,tcf_full_output\images\series_01_q35.png,Les gestes révèleraient systématiquement la langue maternelle des locuteurs,"Il existerait un ordre universel de la pensée, indépendant de l’ordre linguistique",Il y aurait autant de façons de penser que de structures de langue différentes,Les structures des langues seraient dépendantes de notre expérience du monde,"Il existerait un ordre universel de la pensée, indépendant de l’ordre linguistique",B
1,Série 1,36,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886278-frlpeh.png,tcf_full_output\images\series_01_q36.png,La quasi-absence d’héroïnes,L’appel constant à la violence,L’atténuation des clichés,L’uniformité des scénarios,La quasi-absence d’héroïnes,A
1,Série 1,37,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886638-4ddix3.png,tcf_full_output\images\series_01_q37.png,Parce qu’elle finance les programmes de développement des TIC,Parce qu’elle organise des débats entre États membres sur les TIC,Parce qu’elle sensibilise les établissements d’enseignement aux TIC,Parce qu’elle habilite des formateurs à l’utilisation des TIC,Parce qu’elle finance les programmes de développement des TIC,A
1,Série 1,38,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886283-15nsk2.png,tcf_full_output\images\series_01_q38.png,De concrétiser des objectifs personnels,De fonctionner dans un cadre innovant,De limiter la répartition des gains,De renforcer les liens entre les générations,De concrétiser des objectifs personnels,A
1,Série 1,39,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194886411-0nigu9.png,tcf_full_output\images\series_01_q39.png,Il contribue à améliorer les méthodes d’apprentissage,Il est indispensable pour accéder au monde professionnel,Il permet de certifier les compétences réelles d’un candidat,Il perturbe le processus d’acquisition des connaissances,Il perturbe le processus d’acquisition des connaissances,D
2,Série 2,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890204-2ixx5n.png,tcf_full_output\images\series_02_q01.png,Des cours,Des emplois,Des livres,Des voyages,Des cours,A
2,Série 2,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889119-lzqrvx.png,tcf_full_output\images\series_02_q02.png,De stocker des marchandises,De transporter des colis,De vendre des cartons,De voyager à l’étranger,De transporter des colis,B
2,Série 2,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889106-9q5hdu.png,tcf_full_output\images\series_02_q03.png,À la gare,À la maison,Au cinéma,Au travail,À la maison,B
2,Série 2,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889100-s4fdqg.png,tcf_full_output\images\series_02_q04.png,Pour des courses,Pour un repas,Pour un travail,Pour une réunion,Pour un repas,B
2,Série 2,5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889737-o684og.png,tcf_full_output\images\series_02_q05.png,Elle doit partir une journée,Elle propose un déjeuner,Elle souhaite parler à François,Elle veut visiter une entreprise,Elle souhaite parler à François,C
2,Série 2,6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890907-q4hx4q.png,tcf_full_output\images\series_02_q06.png,Il les renseigne sur des informations,Il leur permet de trouver un emploi,Il leur présente des stages en entreprise,Il leur propose des logements étudiants,Il leur permet de trouver un emploi,B
2,Série 2,7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890229-4g30tc.png,tcf_full_output\images\series_02_q07.png,En décembre,En février,En mai,En mars,En mai,C
2,Série 2,8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890194-ji2gzt.png,tcf_full_output\images\series_02_q08.png,Dans une boucherie,Dans une boulangerie,Dans une épicerie,Dans une poissonnerie,Dans une épicerie,C
2,Série 2,9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889938-bm9vvr.png,tcf_full_output\images\series_02_q09.png,D’apporter le déjeuner,D’avancer le rendez-vous,De consulter les documents,De prévenir les collègues,De prévenir les collègues,D
2,Série 2,10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890008-mnjsy1.png,tcf_full_output\images\series_02_q10.png,Elle sera fermée au mois de mars.,Il y aura des travaux à l’extérieur.,L’entrée se fera par une autre porte,Le service municipal réparera les lieux.,L’entrée se fera par une autre porte,C
2,Série 2,11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890101-s1i4us.png,tcf_full_output\images\series_02_q11.png,Pour un anniversaire,Pour un mariage,Pour un réveillon,Pour un spectacle,Pour un réveillon,C
2,Série 2,12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890065-6jfxdu.png,tcf_full_output\images\series_02_q12.png,D’argent pour la course,De livres pour les enfants,De produits pour les repas,D’une voiture pour le transport,D’argent pour la course,A
2,Série 2,13,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889912-jr9v4o.png,tcf_full_output\images\series_02_q13.png,De participer à la vie de l’entreprise,De poser leurs jours de vacances,De remplir un formulaire en ligne,De respecter les règles de sécurité,De poser leurs jours de vacances,B
2,Série 2,14,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889270-d3yaxn.png,tcf_full_output\images\series_02_q14.png,Alerter les clients sur les fausses publicités des magasins,Donner des conseils pour arrêter de recevoir des publicités,Présenter le résumé d’une étude sur les effets de la publicité,Vendre l’autocollant « Stop Pub » du ministère de l’Écologie,Donner des conseils pour arrêter de recevoir des publicités,B
2,Série 2,15,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194891247-60r29d.png,tcf_full_output\images\series_02_q15.png,Il modifiera son parcours à la demande des usagers,Il permettra d’éviter les embouteillages en ville,Il sera équipé d’un nouveau système de sécurité,Il sera très facile d’entretien et peu coûteux,Il permettra d’éviter les embouteillages en ville,B
2,Série 2,16,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194891262-d93f2v.png,tcf_full_output\images\series_02_q16.png,Pour aider les élèves à ne pas s’enrhumer,Pour enseigner le droit à la tolérance,Pour respecter des normes d’hygiène,Pour supprimer les différences sociales,Pour respecter des normes d’hygiène,C
2,Série 2,17,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889783-w5etw5.png,tcf_full_output\images\series_02_q17.png,Avoir comme seul objectif de terminer l’épreuve,Pratiquer la course à pied plusieurs fois par semaine,Prendre régulièrement des médicaments anti-douleur,Se donner de longues périodes de récupération,Pratiquer la course à pied plusieurs fois par semaine,B
2,Série 2,18,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890220-ynv154.png,tcf_full_output\images\series_02_q18.png,Auditionner plusieurs candidats en même temps,Faire mener l’entrevue des candidats par un futur collègue,Laisser les candidats s’exprimer sans les interrompre,Rencontrer les candidats sans rien savoir d’eux,Rencontrer les candidats sans rien savoir d’eux,D
2,Série 2,19,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889375-9ded6j.png,tcf_full_output\images\series_02_q19.png,De découvrir la région,De goûter des spécialités,De pratiquer un sport,D’organiser un spectacle,De pratiquer un sport,C
2,Série 2,20,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889960-8tyeqp.png,tcf_full_output\images\series_02_q20.png,De lutter contre les imitations,D’en accroitre la production,De développer sa saveur,De le faire davantage connaitre,De lutter contre les imitations,A
2,Série 2,21,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889201-4z3a5p.png,tcf_full_output\images\series_02_q21.png,A un timbre qui n’existe pas naturellement,Se confond avec la voix de l’enfant qui joue,Enregistre et reproduis les voix entendues,Imite à la perfection la voix d’un enfant,Imite à la perfection la voix d’un enfant,D
2,Série 2,22,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890070-tpdkkg.png,tcf_full_output\images\series_02_q22.png,Il est financé par des universités publiques,Il est remplacé par un autre programme,Il facilite l’accès au monde de l’entreprise,Son succès auprès des étudiants se dégrade,Son succès auprès des étudiants se dégrade,D
2,Série 2,23,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890257-427gvh.png,tcf_full_output\images\series_02_q23.png,Connaître ses adversaires,Cultiver sa concentration,Dormir efficacement,Ménager ses efforts,Dormir efficacement,C
2,Série 2,24,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890188-w8ql62.png,tcf_full_output\images\series_02_q24.png,À aider à la rénovation en travaillant au château,À entrer en contact avec les occupants du château,À financer les travaux au château par un don,"À visiter le château, ses jardins et expositions",À financer les travaux au château par un don,C
2,Série 2,25,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890199-dycgt5.png,tcf_full_output\images\series_02_q25.png,L’originalité des pays visités,La description des habitudes quotidiennes,La diversité des portraits présentés,Les qualités littéraires des écrivains,La diversité des portraits présentés,C
2,Série 2,26,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890960-szuxte.png,tcf_full_output\images\series_02_q26.png,Elles font partie de la gastronomie régionale.,Les gens en mangent plus que par le passé.,Les médecins conseillent leur usage en cuisine,Leur culture augmente rapidement sur les côtes.,Les gens en mangent plus que par le passé.,B
2,Série 2,27,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194891050-wahapt.png,tcf_full_output\images\series_02_q27.png,Pour améliorer les méthodes de travail de la cantine,Pour encourager la création des formations professionnelles,Pour faire naitre l’envie de s’invertir dans un métier,Pour sensibiliser le grand public à la réalité de la vie carcérale,Pour faire naitre l’envie de s’invertir dans un métier,C
2,Série 2,28,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890096-798jba.png,tcf_full_output\images\series_02_q28.png,L’ambiance de l’école doit être calquée sur le modèle familial,L’autorité du professeur doit être compensée par sa gentillesse,L’épanouissement de l’enfant doit primer sur sa réussite,L’impartialité doit être l’une des qualités principales d’un maitre,L’impartialité doit être l’une des qualités principales d’un maitre,D
2,Série 2,29,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890266-mg1r6r.png,tcf_full_output\images\series_02_q29.png,Pour améliorer la qualité des documentaires.,Pour dissimuler la pauvreté des contenus.,Pour moderniser leurs méthodes de travail.,Pour saper les gens visés par les enquêtes,Pour dissimuler la pauvreté des contenus.,B
2,Série 2,30,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194889972-qzqyls.png,tcf_full_output\images\series_02_q30.png,La méfiance des propriétaires,La rareté des offres de ce logement,L’absence d’engagement de l’État,Le montant de la caution exigée,La méfiance des propriétaires,A
2,Série 2,31,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890179-2ey37s.png,tcf_full_output\images\series_02_q31.png,L’inauguration d’une exposition temporaire,L’inscription d’une œuvre au patrimoine mondial,L’ouverture au public d’une zone dangereuse,L’accès réglementé à un emplacement protégé,L’accès réglementé à un emplacement protégé,D
2,Série 2,32,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890169-lotd9g.png,tcf_full_output\images\series_02_q32.png,L’affrontement entre partenaires sociaux,L’avancée majeure en termes de fiscalité,La proclamation de réformes importantes,L’absence de prise de décisions effectives,L’absence de prise de décisions effectives,D
2,Série 2,33,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890252-aa7vji.png,tcf_full_output\images\series_02_q33.png,Elle concerne uniquement les économies fortes,Elle freine l’utilisation de ressources renouvelables,Elle permet le dépassement des normes édictées,Elle ralentit le progrès dans les états émergents,Elle permet le dépassement des normes édictées,C
2,Série 2,34,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890293-htfno3.png,tcf_full_output\images\series_02_q34.png,L’extension d’un système de climatisation à tout un quartier,L’installation des parcs sur les toits des bâtiments parisiens,La construction de pistes cyclables au sommet des immeubles,La création de jardins communs pour planter des légumes,L’extension d’un système de climatisation à tout un quartier,A
2,Série 2,35,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890182-9u0vm6.png,tcf_full_output\images\series_02_q35.png,Il conteste la fiabilité des sources d’internet.,Il critique la surabondance de l'information.,Il dénonce la médiocrité de la presse écrite.,II doute de l'intérêt des médias traditionnels.,II doute de l'intérêt des médias traditionnels.,D
2,Série 2,36,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890276-tii22d.png,tcf_full_output\images\series_02_q36.png,Les acheteurs opposés au téléchargement illégal,Les amateurs de subtilité et de raffinement musical,Les admirateurs inconditionnels de l’interprète,Les curieux en mal de musique expérimentale,Les amateurs de subtilité et de raffinement musical,B
2,Série 2,37,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890015-04e76j.png,tcf_full_output\images\series_02_q37.png,À s’acquitter d’un engagement moral,À se défaire d’un sentiment de culpabilité,À s’affranchir d’une histoire ancienne,À se justifier d’une action peu glorieuse,À s’affranchir d’une histoire ancienne,C
2,Série 2,38,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890212-or21qx.png,tcf_full_output\images\series_02_q38.png,Ce choix creuse les inégalités sociales,Ce projet omet des questions de sécurité,Cette démarche déresponsabilise les usagers,Cette initiative coûte beaucoup trop cher,Cette initiative coûte beaucoup trop cher,D
2,Série 2,39,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194890767-l7ifkb.png,tcf_full_output\images\series_02_q39.png,Pour découvrir de nouvelles références,Pour posséder une bibliothèque fournie,Pour s’évader vers des horizons lointains,Pour trouver des remèdes à ses maux,Pour découvrir de nouvelles références,A
3,Série 3,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894373-ukhsgv.png,tcf_full_output\images\series_03_q01.png,D’un anniversaire,D’un décès,D’un mariage,D’une naissance,D’une naissance,D
3,Série 3,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194893207-1xkk0f.png,tcf_full_output\images\series_03_q02.png,Elle étudie son français,Elle invite son ami Rémi,Elle reste chez elle,Elle va à la bibliothèque,Elle reste chez elle,C
3,Série 3,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194893229-zjx2jn.png,tcf_full_output\images\series_03_q03.png,Aller voir un film,Diner avec Fred,Passer chez un ami,Rester au travail,Aller voir un film,A
3,Série 3,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194893212-d0qcl2.png,tcf_full_output\images\series_03_q04.png,Elle chante,Elle court,Elle étudie,Elle nage,Elle nage,D
3,Série 3,5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894162-mjiips.png,tcf_full_output\images\series_03_q05.png,De jeunes enfants,Des femmes et des enfants,De jeunes mamans,Des parents avec leurs enfants,De jeunes mamans,C
3,Série 3,6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894917-w03qt8.png,tcf_full_output\images\series_03_q06.png,Bien choisir ses vêtements,Chercher les horaires du bus,Envoyer un courriel à Sam,Trouver une location de vacances,Bien choisir ses vêtements,A
3,Série 3,7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894499-m4r1if.png,tcf_full_output\images\series_03_q07.png,Aller à un anniversaire,Diner avec son amie,Partir en Week-end,Regarder des films,Regarder des films,D
3,Série 3,8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894643-963v25.png,tcf_full_output\images\series_03_q08.png,De l’inscription des élèves,Des horaires de sortie,Des repas à la cantine,Du temps de repos,Des horaires de sortie,B
3,Série 3,9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894344-m1asad.png,tcf_full_output\images\series_03_q09.png,L’alimentation,L’éducation,La cuisine,Le commerce,L’alimentation,A
3,Série 3,10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894091-r0kf0q.png,tcf_full_output\images\series_03_q10.png,D’envoyer des photos,D’inventer une recette,De créer un spectacle,De découvrir une langue,D’envoyer des photos,A
3,Série 3,11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894474-kvrt0x.png,tcf_full_output\images\series_03_q11.png,Dialoguer avec le personnel enseignant,Écouter une présentation du directeur,Participer à une conférence sur l’éducation,Répondre à un questionnaire sur tes cours,Dialoguer avec le personnel enseignant,A
3,Série 3,12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194894380-0p7hna.png,tcf_full_output\images\series_03_q12.png,D’utiliser des crèmes solaires à base de chocolat,De diminuer sa consommation de chocolat,De manger quotidiennement du chocolat,De suivre un traitement de pilules au chocolat,De manger quotidiennement du chocolat,C
