series_index,series_title,question_number,level,points,prompt,image_url,audio_url,image_local_path,audio_local_path,A,B,C,D,correct_answer_text,correct_letter
1,Série 1,11,B1,15,Question 11 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930278-i46p27.mp3,,tcf_oral_output\audios\series_01_q11.mp3,La communication avec ses clients.,La recherche d’un nouveau travail.,L’achat d’un nouveau téléphone fixe.,L’utilisation de son ordinateur portable.,La communication avec ses clients.,A
1,Série 1,12,B1,15,Question 12 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928103-dye5fx.mp3,,tcf_oral_output\audios\series_01_q12.mp3,De cinéma.,De lecture.,De musique.,De théâtre.,De cinéma.,A
1,Série 1,13,B1,15,Question 13 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928491-9yg9b2.mp3,,tcf_oral_output\audios\series_01_q13.mp3,Pour annuler un achat.,Pour modifier une commande.,Pour réclamer un paquet.,Pour retourner un colis.,Pour modifier une commande.,B
1,Série 1,14,B1,15,Question 14 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930200-e6poar.mp3,,tcf_oral_output\audios\series_01_q14.mp3,L’annulation d’un cours.,Le retard d’un professeur.,Les horaires d’un examen.,Un changement de salle.,L’annulation d’un cours.,A
1,Série 1,15,B1,15,Question 15 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930136-yyo1sd.mp3,,tcf_oral_output\audios\series_01_q15.mp3,Elle passe ses congés dans la région.,Elle réside là depuis son enfance.,Elle travaille dans le tourisme local.,Elle vient participer à un concours.,Elle passe ses congés dans la région.,A
1,Série 1,16,B1,15,Question 16 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930103-gwnsfz.mp3,,tcf_oral_output\audios\series_01_q16.mp3,La répartition des horaires.,Le contact avec les élèves.,Les activités pédagogiques.,L’organisation des leçons.,Le contact avec les élèves.,B
1,Série 1,17,B1,15,Question 17 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928629-a2is7b.mp3,,tcf_oral_output\audios\series_01_q17.mp3,Confirmer la date d’un entretien d’embauche.,Se renseigner sur les conditions de travail.,S’informer sur une formation professionnelle.,Vérifier si un courrier est bien arrivé.,Vérifier si un courrier est bien arrivé.,D
1,Série 1,18,B1,15,Question 18 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929068-joxj8h.mp3,,tcf_oral_output\audios\series_01_q18.mp3,Le prix élevé des produits.,Les délais pour être livrée.,Les difficultés en cas d’échange.,Les tailles de vêtements différentes.,Les difficultés en cas d’échange.,C
1,Série 1,19,B1,15,Question 19 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929710-fu07u8.mp3,,tcf_oral_output\audios\series_01_q19.mp3,Les conditions de recrutement sont plus difficiles aujourd’hui.,Les étudiants ignorent le fonctionnement de l’entreprise.,Les jeunes étaient préparés plus sérieusement dans le passé.,Les patrons actuels ont un degré d’exigence trop élevé.,Les conditions de recrutement sont plus difficiles aujourd’hui.,A
1,Série 1,20,B2,21,Question 20 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929052-b0c7vq.mp3,,tcf_oral_output\audios\series_01_q20.mp3,D’acheter un roman.,D’attendre son collègue.,De réserver un livre.,De revenir le lendemain.,De réserver un livre.,C
1,Série 1,21,B2,21,Question 21 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929731-rl91jd.mp3,,tcf_oral_output\audios\series_01_q21.mp3,Il fait plus beau qu’hier.,Il fait plus mauvais qu’hier.,Il pleut plus qu’hier.,Il y a moins de soleil qu’hier.,Il fait plus beau qu’hier.,A
1,Série 1,22,B2,21,Question 22 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930005-xugljq.mp3,,tcf_oral_output\audios\series_01_q22.mp3,La diffusion d’une langue qui exprime les nuances des sentiments.,La multiplication des actions pour la défense des droits de l’homme.,La promotion d’un moyen d’échanges entre les différentes nationalités.,La reconnaissance d’un patrimoine culturel unique par sa richesse.,La promotion d’un moyen d’échanges entre les différentes nationalités.,C
1,Série 1,23,B2,21,Question 23 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928907-3l2adn.mp3,,tcf_oral_output\audios\series_01_q23.mp3,Elles entrent dans la vie active avant les jeunes garçons.,Elles se rebellent très vite face à l’autorité familiale au quotidien.,Elles sont en désaccord avec leurs parents au sujet de leurs études.,Elles sont mieux préparées aux tâches de tous les jours.,Elles se rebellent très vite face à l’autorité familiale au quotidien.,B
1,Série 1,24,B2,21,Question 24 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928661-bbz41v.mp3,,tcf_oral_output\audios\series_01_q24.mp3,Découvrir une région de France.,Partir vivre sur la Côte d’Azur.,Rejoindre son épouse dans le Sud.,Rendre visite à un ami français.,Découvrir une région de France.,A
1,Série 1,25,B2,21,Question 25 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929750-obpob0.mp3,,tcf_oral_output\audios\series_01_q25.mp3,Pour conserver le poisson.,Pour ranger leur matériel.,Pour se réchauffer.,Pour se reposer.,Pour se réchauffer.,C
1,Série 1,26,B2,21,Question 26 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930355-xsjl50.mp3,,tcf_oral_output\audios\series_01_q26.mp3,Elle a arrêté d’exercer sa profession.,Elle a décidé d’enrichir son curriculum vitae.,Elle a obtenu un congé de longue durée.,Elle a réduit son nombre d’heures de travail.,Elle a arrêté d’exercer sa profession.,A
1,Série 1,27,B2,21,Question 27 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928443-h97119.mp3,,tcf_oral_output\audios\series_01_q27.mp3,Le jeu de l’acteur.,Les dialogues.,La musique.,Le scénario.,La musique.,C
1,Série 1,28,B2,21,Question 28 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928388-6y63sg.mp3,,tcf_oral_output\audios\series_01_q28.mp3,Elle a gardé des enfants dans une famille britannique.,Elle a passé son enfance dans un pays étranger.,Elle a suivi des études dans un lycée bilingue.,Elle a travaillé avec une institutrice américaine.,Elle a travaillé avec une institutrice américaine.,D
1,Série 1,29,B2,21,Question 29 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929216-omq25j.mp3,,tcf_oral_output\audios\series_01_q29.mp3,D’un appel à projets imaginaires.,D’un examen de fin d’études.,D’un nouveau plan d’urbanisme.,D’une rénovation d’un monument.,D’un appel à projets imaginaires.,A
1,Série 1,30,C1,26,Question 30 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930156-upu6vx.mp3,,tcf_oral_output\audios\series_01_q30.mp3,L’attitude des touristes accélère sa dégradation.,Le financement des travaux d’entretien est menacé.,Les autorités restaurent actuellement les vestiges.,L’intérêt pour l’architecture des lieux est en déclin.,L’attitude des touristes accélère sa dégradation.,A
1,Série 1,31,C1,26,Question 31 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930019-nlogn1.mp3,,tcf_oral_output\audios\series_01_q31.mp3,C’est un temps de découverte et l’humanité.,C’est une occasion de dépenser son énergie.,C’est une opportunité d’apprécier la solitude.,C’est une possibilité quotidienne d’évasion.,C’est un temps de découverte et l’humanité.,A
1,Série 1,32,C1,26,Question 32 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928881-2xt6pw.mp3,,tcf_oral_output\audios\series_01_q32.mp3,C’est la reproduction d’un café du siècle dernier.,Il contient un dépôt-vente de meubles design.,C’est à la fois un restaurant et une galerie d’art.,Il y organise un festival de musique électronique.,C’est à la fois un restaurant et une galerie d’art.,C
1,Série 1,33,C1,26,Question 33 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928802-j3lzyt.mp3,,tcf_oral_output\audios\series_01_q33.mp3,À comparer les étapes du clonage naturel et artificiel.,À observer l’effet des activités humaines sur la nature.,À orienter la recherche en prenant la nature comme modèle.,À sensibiliser les hommes à respecter leur milieu naturel.,À orienter la recherche en prenant la nature comme modèle.,C
1,Série 1,34,C1,26,Question 34 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930114-jr5uqo.mp3,,tcf_oral_output\audios\series_01_q34.mp3,Ils consomment plus que la jeune génération.,Ils dépensent beaucoup pour leur santé.,Ils profitent peu des effets de la croissance.,Ils sont à l’origine de créations d’emplois.,Ils sont à l’origine de créations d’emplois.,D
1,Série 1,35,C1,26,Question 35 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930127-oo6cj6.mp3,,tcf_oral_output\audios\series_01_q35.mp3,Ils dégagent une odeur agréable.,Ils ont des résultats spectaculaires.,Ils ont l’avantage d’être peu chers.,Ils répondent à ses convictions.,Ils répondent à ses convictions.,D
1,Série 1,36,C2,33,Question 36 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930048-y4zfv7.mp3,,tcf_oral_output\audios\series_01_q36.mp3,C’est aux parents de choisir pour leurs enfants.,Il faut l’étendre à toutes les générations.,Le dispositif fonctionne bien tel qu’il est.,L’État doit l’imposer à la population.,Le dispositif fonctionne bien tel qu’il est.,C
1,Série 1,37,C2,33,Question 37 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930087-84rqj0.mp3,,tcf_oral_output\audios\series_01_q37.mp3,La relation liant Camille Claudel et Rodin.,La richesse du musée Auguste Rodin.,Les difficultés rencontrées par Rodin.,Les sources d’inspiration de Rodin.,La relation liant Camille Claudel et Rodin.,A
1,Série 1,38,C2,33,Question 38 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930038-ui5jsc.mp3,,tcf_oral_output\audios\series_01_q38.mp3,Elles demandent un nouveau statut juridique.,Elles exigent des garanties réelles et tangibles.,Elles mettent en doute la viabilité du projet.,Elles veulent que les terres restent intactes.,Elles exigent des garanties réelles et tangibles.,B
1,Série 1,39,C2,33,Question 39 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929978-zqz66p.mp3,,tcf_oral_output\audios\series_01_q39.mp3,Elle est régie par des normes internationales strictes.,Elle est réputée sans danger pour le milieu naturel.,Les inconvénients qu’elle présente sont manifestes.,Les sociétés de production en exagèrent la rentabilité.,Les sociétés de production en exagèrent la rentabilité.,D
2,Série 1,1,A1,3,"Question 1 : Écoutez les 4 propositions, choisissez celle qui correspond à l’image",https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1766563928607-8alpbb.jpg,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563936066-lr33kk.mp3,tcf_oral_output\images\series_02_q01.jpg,tcf_oral_output\audios\series_02_q01.mp3,,,,,B,B
2,Série 1,2,A1,3,"Question 2 : Écoutez les 4 propositions, choisissez celle qui correspond à l’image",https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1766563928686-f54sfh.webp,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563931355-fkpiyw.mp3,tcf_oral_output\images\series_02_q02.webp,tcf_oral_output\audios\series_02_q02.mp3,,,,,D,D
2,Série 1,3,A1,3,Question 3 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929522-rsylnq.mp3,,tcf_oral_output\audios\series_02_q03.mp3,,,,,C,C
2,Série 1,4,A1,3,Question 4 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928580-p2d2wk.mp3,,tcf_oral_output\audios\series_02_q04.mp3,,,,,C,C
2,Série 1,5,A2,9,Question 5 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929502-t0p6oe.mp3,,tcf_oral_output\audios\series_02_q05.mp3,,,,,B,B
2,Série 1,6,A2,9,Question 6 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928506-lvvwqi.mp3,,tcf_oral_output\audios\series_02_q06.mp3,,,,,A,A
2,Série 1,7,A2,9,Question 7 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928220-0llmtk.mp3,,tcf_oral_output\audios\series_02_q07.mp3,,,,,A,A
2,Série 1,8,A2,9,Question 8 : Écoutez l’extrait sonore et les 4 propositions. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928588-f1fb4v.mp3,,tcf_oral_output\audios\series_02_q08.mp3,,,,,A,A
2,Série 1,9,A2,9,Question 9 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928867-7hancy.mp3,,tcf_oral_output\audios\series_02_q09.mp3,Acheter des médicaments.,Envoyer une lettre.,Prendre un transport.,Voir un film.,Envoyer une lettre.,B
2,Série 1,10,A2,9,Question 10 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928707-180ybm.mp3,,tcf_oral_output\audios\series_02_q10.mp3,D’arriver en retard.,D’avoir une mauvaise note.,De manquer de temps.,De tomber malade.,D’avoir une mauvaise note.,B
2,Série 1,11,B1,15,Question 11 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930278-i46p27.mp3,,tcf_oral_output\audios\series_02_q11.mp3,La communication avec ses clients.,La recherche d’un nouveau travail.,L’achat d’un nouveau téléphone fixe.,L’utilisation de son ordinateur portable.,La communication avec ses clients.,A
2,Série 1,12,B1,15,Question 12 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928103-dye5fx.mp3,,tcf_oral_output\audios\series_02_q12.mp3,De cinéma.,De lecture.,De musique.,De théâtre.,De cinéma.,A
2,Série 1,13,B1,15,Question 13 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928491-9yg9b2.mp3,,tcf_oral_output\audios\series_02_q13.mp3,Pour annuler un achat.,Pour modifier une commande.,Pour réclamer un paquet.,Pour retourner un colis.,Pour modifier une commande.,B
2,Série 1,14,B1,15,Question 14 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930200-e6poar.mp3,,tcf_oral_output\audios\series_02_q14.mp3,L’annulation d’un cours.,Le retard d’un professeur.,Les horaires d’un examen.,Un changement de salle.,L’annulation d’un cours.,A
2,Série 1,15,B1,15,Question 15 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930136-yyo1sd.mp3,,tcf_oral_output\audios\series_02_q15.mp3,Elle passe ses congés dans la région.,Elle réside là depuis son enfance.,Elle travaille dans le tourisme local.,Elle vient participer à un concours.,Elle passe ses congés dans la région.,A
2,Série 1,16,B1,15,Question 16 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930103-gwnsfz.mp3,,tcf_oral_output\audios\series_02_q16.mp3,La répartition des horaires.,Le contact avec les élèves.,Les activités pédagogiques.,L’organisation des leçons.,Le contact avec les élèves.,B
2,Série 1,17,B1,15,Question 17 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928629-a2is7b.mp3,,tcf_oral_output\audios\series_02_q17.mp3,Confirmer la date d’un entretien d’embauche.,Se renseigner sur les conditions de travail.,S’informer sur une formation professionnelle.,Vérifier si un courrier est bien arrivé.,Vérifier si un courrier est bien arrivé.,D
2,Série 1,18,B1,15,Question 18 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929068-joxj8h.mp3,,tcf_oral_output\audios\series_02_q18.mp3,Le prix élevé des produits.,Les délais pour être livrée.,Les difficultés en cas d’échange.,Les tailles de vêtements différentes.,Les difficultés en cas d’échange.,C
2,Série 1,19,B1,15,Question 19 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929710-fu07u8.mp3,,tcf_oral_output\audios\series_02_q19.mp3,Les conditions de recrutement sont plus difficiles aujourd’hui.,Les étudiants ignorent le fonctionnement de l’entreprise.,Les jeunes étaient préparés plus sérieusement dans le passé.,Les patrons actuels ont un degré d’exigence trop élevé.,Les conditions de recrutement sont plus difficiles aujourd’hui.,A
2,Série 1,20,B2,21,Question 20 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929052-b0c7vq.mp3,,tcf_oral_output\audios\series_02_q20.mp3,D’acheter un roman.,D’attendre son collègue.,De réserver un livre.,De revenir le lendemain.,De réserver un livre.,C
2,Série 1,21,B2,21,Question 21 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929731-rl91jd.mp3,,tcf_oral_output\audios\series_02_q21.mp3,Il fait plus beau qu’hier.,Il fait plus mauvais qu’hier.,Il pleut plus qu’hier.,Il y a moins de soleil qu’hier.,Il fait plus beau qu’hier.,A
2,Série 1,22,B2,21,Question 22 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930005-xugljq.mp3,,tcf_oral_output\audios\series_02_q22.mp3,La diffusion d’une langue qui exprime les nuances des sentiments.,La multiplication des actions pour la défense des droits de l’homme.,La promotion d’un moyen d’échanges entre les différentes nationalités.,La reconnaissance d’un patrimoine culturel unique par sa richesse.,La promotion d’un moyen d’échanges entre les différentes nationalités.,C
2,Série 1,23,B2,21,Question 23 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928907-3l2adn.mp3,,tcf_oral_output\audios\series_02_q23.mp3,Elles entrent dans la vie active avant les jeunes garçons.,Elles se rebellent très vite face à l’autorité familiale au quotidien.,Elles sont en désaccord avec leurs parents au sujet de leurs études.,Elles sont mieux préparées aux tâches de tous les jours.,Elles se rebellent très vite face à l’autorité familiale au quotidien.,B
2,Série 1,24,B2,21,Question 24 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928661-bbz41v.mp3,,tcf_oral_output\audios\series_02_q24.mp3,Découvrir une région de France.,Partir vivre sur la Côte d’Azur.,Rejoindre son épouse dans le Sud.,Rendre visite à un ami français.,Découvrir une région de France.,A
2,Série 1,25,B2,21,Question 25 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929750-obpob0.mp3,,tcf_oral_output\audios\series_02_q25.mp3,Pour conserver le poisson.,Pour ranger leur matériel.,Pour se réchauffer.,Pour se reposer.,Pour se réchauffer.,C
2,Série 1,26,B2,21,Question 26 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930355-xsjl50.mp3,,tcf_oral_output\audios\series_02_q26.mp3,Elle a arrêté d’exercer sa profession.,Elle a décidé d’enrichir son curriculum vitae.,Elle a obtenu un congé de longue durée.,Elle a réduit son nombre d’heures de travail.,Elle a arrêté d’exercer sa profession.,A
2,Série 1,27,B2,21,Question 27 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928443-h97119.mp3,,tcf_oral_output\audios\series_02_q27.mp3,Le jeu de l’acteur.,Les dialogues.,La musique.,Le scénario.,La musique.,C
2,Série 1,28,B2,21,Question 28 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928388-6y63sg.mp3,,tcf_oral_output\audios\series_02_q28.mp3,Elle a gardé des enfants dans une famille britannique.,Elle a passé son enfance dans un pays étranger.,Elle a suivi des études dans un lycée bilingue.,Elle a travaillé avec une institutrice américaine.,Elle a travaillé avec une institutrice américaine.,D
2,Série 1,29,B2,21,Question 29 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563929216-omq25j.mp3,,tcf_oral_output\audios\series_02_q29.mp3,D’un appel à projets imaginaires.,D’un examen de fin d’études.,D’un nouveau plan d’urbanisme.,D’une rénovation d’un monument.,D’un appel à projets imaginaires.,A
2,Série 1,30,C1,26,Question 30 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930156-upu6vx.mp3,,tcf_oral_output\audios\series_02_q30.mp3,L’attitude des touristes accélère sa dégradation.,Le financement des travaux d’entretien est menacé.,Les autorités restaurent actuellement les vestiges.,L’intérêt pour l’architecture des lieux est en déclin.,L’attitude des touristes accélère sa dégradation.,A
2,Série 1,31,C1,26,Question 31 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563930019-nlogn1.mp3,,tcf_oral_output\audios\series_02_q31.mp3,C’est un temps de découverte et l’humanité.,C’est une occasion de dépenser son énergie.,C’est une opportunité d’apprécier la solitude.,C’est une possibilité quotidienne d’évasion.,C’est un temps de découverte et l’humanité.,A
2,Série 1,32,C1,26,Question 32 : Écoutez le document sonore et la question. Choisissez la bonne réponse,,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/audio/1766563928881-2xt6pw.mp3,,tcf_oral_output\audios\series_02_q32.mp3,C’est la reproduction d’un café du siècle dernier.,Il contient un dépôt-vente de meubles design.,C’est à la fois un restaurant et une galerie d’art.,Il y organise un festival de musique électronique.,C’est à la fois un restaurant et une galerie d’art.,C
